"No.","Time","Source","Destination","Protocol","Length","Info"
"2076","4.495383052","10.76.105.1","10.244.105.1","MAVLink 2.0","123","GPS_RAW_INT"
"2077","4.495441979","10.76.105.1","10.244.105.1","MAVLink 2.0","79","MISSION_CURRENT"
"2078","4.495457287","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2079","4.495598263","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=98615 Win=9617 Len=0 TSval=2474327493 TSecr=519151028"
"2080","4.504904085","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2081","4.504952479","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2082","4.504964570","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2083","4.504975198","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2084","4.504984770","10.76.105.1","10.244.105.1","MAVLink 2.0","99","SERVO_OUTPUT_RAW"
"2085","4.504994188","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"2086","4.505004101","10.76.105.1","10.244.105.1","MAVLink 2.0","90","SERVO_OUTPUT_RAW"
"2087","4.505014309","10.76.105.1","10.244.105.1","MAVLink 2.0","95","VFR_HUD"
"2088","4.505097326","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=98947 Win=9617 Len=0 TSval=2474327503 TSecr=519151038"
"2089","4.513474921","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2090","4.513515799","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2091","4.513526776","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2092","4.513619882","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=189 Ack=99105 Win=9617 Len=0 TSval=2474327511 TSecr=519151058"
"2093","4.535473211","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2094","4.535531041","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2095","4.535545072","10.76.105.1","10.244.105.1","MAVLink 2.0","92","TIMESYNC"
